,MAKE_MODEL,ENGINE_TYPE/BATTERY_TYPE,ENGINE_DISPLACEMENT(CC)/MOTOR_POWER(KW),TRANSMISSION_TYPE,FUEL_TYPE,MILEAGE/Range,TANK_CAPACITY/BATTERY_CAPACITY,FRONT_SUSPENSION,REAR_SUSPENSION,Entertainment_Details
77,Mahindra XUV400 EV,Lithium-Ion,100 kW,Automatic,Electric,456 km,39.4 kWh,MacPherson Strut with Anti Roll Bar,Twist Beam with Coil Spring,"{'Touch Screen size': 'N/A', 'Connectivity': 'Android Auto, Apple CarPlay', 'Tweeters': 'N/A', 'Additional Features': '17.78 cm Touch Screen Infotainment System with Navigation & 4 Speakers, Bluesense+ (Exclusive app with 60+class leading connectivity features), Smart Watch Connectivity, Smart Steering System, Voice Commands & SMS Read Out'}"
78,Mahindra Bolero Camper,m2DiCR 4 Cyl 2.5L TB,2523 cc,Manual,Diesel,N/A,57 Litres,Coil Springs,Rigid axle with leaf spring,"{'Touch Screen size': 'N/A', 'Connectivity': 'N/A', 'Tweeters': 'N/A', 'Additional Features': 'N/A'}"
79,Mahindra Bolero PikUp ExtraLong,m2DiCR 4 cly 2.5L TB,2523 cc,Manual,Diesel,N/A,57 Litres,N/A,N/A,"{'Touch Screen size': 'N/A', 'Connectivity': 'N/A', 'Tweeters': 'N/A', 'Additional Features': 'N/A'}"
80,Mahindra Bolero Maxitruck Plus,MSI 2500 CNG,2523 cc,Manual,CNG,17.2 km/kg,45 Litres,N/A,N/A,"{'Touch Screen size': 'N/A', 'Connectivity': 'N/A', 'Tweeters': 'N/A', 'Additional Features': 'N/A'}"
81,Mahindra Bolero Neo Plus,2.2L mHawk,2184 cc,Manual,Diesel,N/A,60 Litres,Double Wish-Bone with Coil Spring and Stabilizer Bar,Multi-Link with Coil Spring and Stabilizer Bar,"{'Touch Screen size': 'N/A', 'Connectivity': 'N/A', 'Tweeters': '2', 'Additional Features': 'N/A'}"
82,Mahindra BOLERO PikUP ExtraStrong,N/A,1298 cc,Manual,CNG,N/A,N/A,N/A,N/A,"{'Touch Screen size': 'N/A', 'Connectivity': 'N/A', 'Tweeters': 'N/A', 'Additional Features': 'N/A'}"
83,Honda City,i-VTEC,1498 cc,Automatic,Petrol,18.4 kmpl,40 Litres,McPherson Strut with Coil Spring,Torsion beam with Coil Spring,"{'Touch Screen size': 'N/A', 'Connectivity': 'Android Auto, Apple CarPlay', 'Tweeters': '4', 'Additional Features': 'Next Gen Honda Connect with Telematics Control Unit (TCU),Weblink,Wireless Smartphone Connectivity (Android Auto, Apple CarPlay),Remote Control by Smartphone Application via Bluetooth®,'}"
84,Honda Amaze,i-VTEC,1199 cc,Automatic,Petrol,18.3 kmpl,35 Litres,"McPherson Strut, Coil Spring","Torsion Bar, Coil Spring","{'Touch Screen size': 'N/A', 'Connectivity': 'Android Auto, Apple CarPlay', 'Tweeters': 'N/A', 'Additional Features': 'Weblink,'}"
85,Honda City Hybrid,i-VTEC,1498 cc,Automatic,Petrol,27.13 kmpl,40 Litres,McPherson Strut with Coil Spring,Torsion beam with Coil Spring,"{'Touch Screen size': 'N/A', 'Connectivity': 'Android Auto, Apple CarPlay', 'Tweeters': '4', 'Additional Features': '(Smart Connectivity Next Gen Honda Connect with Telematics Control Unit,IPS Display with Optical Bonding Display Coating for Reflection Reduction,Remote Control by Smartphone Application via Bluetooth),Weblink,Multi Function Driver Information Interface,'}"
86,Honda Elevate,i-VTEC,1498 cc,Automatic,Petrol,16.92 kmpl,40 Litres,MacPherson Strut With Coil Spring,Torsion Beam With Coil Spring,"{'Touch Screen size': 'N/A', 'Connectivity': 'Android Auto, Apple CarPlay', 'Tweeters': '4', 'Additional Features': '(Wireless)Apple CarPlay Android Auto,Advanced Touchscreen Display Audio,IPS Display,AM/FM Digital Radio Tuner,MP3/WAV,IPod/I Phone,Remote Control By Smartphone Application Via Bluetooth,Exclusive Sub-Display Area With Clock,Calendar,Compass,Quick Settings,Assistant Side View Monitor,Assistant Rear View Monitor,Range & Fuel Economy Information,Average Speed & Time Information,G Meter Display,Display Contents & Vehicle Settings Customization,Safety Support Settings,Vehicle Information & Warning Message Display,Rear Parking Sensor Proximity Display,Rear Seat Reminder,Steering Scroll Selector Selector Wheel And Meter Control Switch,Illumination Control Switch,Fuel Gauge Display With Fuel Reminder Warning,Weblink'}"
